Hello, I'm Ana. What's your name?	Ana	<img src='Ana.png' />	[sound:Level-A1-1990393516.mp3]	H_l_o,   I'm   A_a.   W_a_'_   <br>y_u_   n_m_?   	Olá, sou Ana. Qual é o seu nome?	Hi Ana, my name is Salli	Salli	<img src=Salli.png />	[sound:Level-A1-2034599190.mp3]	H_   A_a,   m_   n_m_   i_   S_l_i   <br>	Oi Ana, meu nome é Salli	I'm' é a abreviação de 'I am' que significa 'eu sou' ou 'eu estou'	Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-A1 ♥01-Introduce-Yourself-and-Friends ⚑Verb-to-Be ♚	Level-A1-1990393516.mp3	Level-A1-2034599190.mp3				
Nice to meet you	Ana	<img src='Ana.png' />	[sound:Level-A1-168598948.mp3]	N_c_   t_   m_e_   y_u   	Prazer em te conhecer	Nice to meet you, too	Salli	<img src=Salli.png />	[sound:Level-A1-1210372317.mp3]	N_c_   t_   m_e_   y_u,   t_o   <br>	O prazer é meu		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-A1 ♥01-Introduce-Yourself-and-Friends ⚑Simple-Present 	Level-A1-168598948.mp3	Level-A1-1210372317.mp3				
What's your name?	Salli	<img src='Salli.png' />	[sound:Level-A1-1576021916.mp3]	W_a_'_   y_u_   n_m_?   	Qual é o seu nome?	My name is Justin	Justin	<img src=Justin.png />	[sound:Level-A1-276027733.mp3]	M_   n_m_   i_   J_s_i_   	Meu nome é Justin		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-A1 ♥01-Introduce-Yourself-and-Friends ⚑Verb-to-Be 	Level-A1-1576021916.mp3	Level-A1-276027733.mp3				
What's her name?	Salli	<img src='Salli.png' />	[sound:Level-A1-236726516.mp3]	W_a_'_   h_r   n_m_?   	Qual é o nome dela?	Her name is Eva	Justin	<img src=Justin.png />	[sound:Level-A1-2057648909.mp3]	H_r   n_m_   i_   E_a   	O nome dela é Eva		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-A1 ♥01-Introduce-Yourself-and-Friends ⚑Possessive-pronouns ♚	Level-A1-236726516.mp3	Level-A1-2057648909.mp3				
What are their names?	Salli	<img src='Salli.png' />	[sound:Level-A1-611076266.mp3]	W_a_   a_e   t_e_r   n_m_s?   	Quais são os nomes deles?	Their names are Justin and Eva	Ana	<img src=Ana.png />	[sound:Level-A1-882628598.mp3]	T_e_r   n_m_s   a_e   J_s_i_   <br>a_d   E_a   	É Justin e Eva		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-A1 ♥01-Introduce-Yourself-and-Friends ⚑Possessive-pronouns ♚	Level-A1-611076266.mp3	Level-A1-882628598.mp3				
What's his name?	Salli	<img src='Salli.png' />	[sound:Level-A1-494463055.mp3]	W_a_'_   h_s   n_m_?   	Qual é o nome dele?	It's John	Ana	<img src=Ana.png />	[sound:Level-A1-1393148736.mp3]	I_'_   J_h_   	É John		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-A1 ♥01-Introduce-Yourself-and-Friends ⚑Possessive-pronouns 	Level-A1-494463055.mp3	Level-A1-1393148736.mp3				
What's your last name?	Salli	<img src='Salli.png' />	[sound:Level-A1-2020576894.mp3]	W_a_'_   y_u_   l_s_   n_m_?   <br>	Qual é o seu sobre nome?	My last name is Williams	Ana	<img src=Ana.png />	[sound:Level-A1-125865595.mp3]	M_   l_s_   n_m_   i_   W_l_i_m_   <br>	Meu sobre nome é Williams		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-A1 ♥01-Introduce-Yourself-and-Friends ⚑Possessive-pronouns 	Level-A1-2020576894.mp3	Level-A1-125865595.mp3				
What's John's last name?	Salli	<img src='Salli.png' />	[sound:Level-A1-1186941730.mp3]	W_a_'_   J_h_'_   l_s_   n_m_?   <br>	Qual é o sobrenome do John?	His last name is Smith	Ana	<img src=Ana.png />	[sound:Level-A1-833409670.mp3]	H_s   l_s_   n_m_   i_   S_i_h   <br>	O sobrenome dele é Smith		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-A1 ♥01-Introduce-Yourself-and-Friends ⚑Verb-to-Be 	Level-A1-1186941730.mp3	Level-A1-833409670.mp3				
Good evening. My name is Kendra	Kendra	<img src='Kendra.png' />	[sound:Level-A1-1937230466.mp3]	G_o_   e_e_i_g.   M_   n_m_   i_   <br>K_n_r_   	Boa noite. Meu nome é Kendra	Good evening, Kendra. It's nice to meet you	Salli	<img src=Salli.png />	[sound:Level-A1-584955092.mp3]	G_o_   e_e_i_g,   K_n_r_.   I_'_   <br>n_c_   t_   m_e_   y_u   <br>	Boa noite, Kendra. É um prazer te conhecer		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-A1 ♥01-Introduce-Yourself-and-Friends ⚑Verb-to-Be ♚	Level-A1-1937230466.mp3	Level-A1-584955092.mp3				
Where is he from?	Salli	<img src='Salli.png' />	[sound:Level-A1-1251739892.mp3]	W_e_e   i_   h_   f_o_?   	De onde ele é?	He's from Boston	Ana	<img src=Ana.png />	[sound:Level-A1-1541016128.mp3]	H_'_   f_o_   B_s_o_   	Ele é de Boston		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-A1 ♥01-Introduce-Yourself-and-Friends ⚑Verb-to-Be 	Level-A1-1251739892.mp3	Level-A1-1541016128.mp3				
What's her email address?	Ana	<img src='Ana.png' />	[sound:Level-A1-671833322.mp3]	W_a_'_   h_r   e_a_l   a_d_e_s?   <br>	Qual é o endereço de e-mail dela?	It's sallijohnson@3xwiser.com	Matthew	<img src=Matthew.png />	[sound:Level-A1-544418389.mp3]	I_'_   s_l_i_o_n_o_@_x_i_e_._o_   <br>	É sallijohnson@3xwiser.com		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-A1 ♥01-Introduce-Yourself-and-Friends ⚑Possessive-pronouns 	Level-A1-671833322.mp3	Level-A1-544418389.mp3				
What's Salli's last name?	Kendra	<img src='Kendra.png' />	[sound:Level-A1-30149556.mp3]	W_a_'_   S_l_i's   l_s_   n_m_?   <br>	Qual é o sobrenome da Salli?	Her last name is Brown	Ana	<img src=Ana.png />	[sound:Level-A1-1285534134.mp3]	H_r   l_s_   n_m_   i_   B_o_n   <br>	O sobrenome dela é Brown		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-A1 ♥01-Introduce-Yourself-and-Friends ⚑Verb-to-Be 	Level-A1-30149556.mp3	Level-A1-1285534134.mp3				
What's his last name?	Salli	<img src='Salli.png' />	[sound:Level-A1-2027966093.mp3]	W_a_'_   h_s   l_s_   n_m_?   	Qual é o sobrenome dele?	His last name is Smith	Ana	<img src=Ana.png />	[sound:Level-A1-833409670.mp3]	H_s   l_s_   n_m_   i_   S_i_h   <br>	O sobrenome dele é Smith		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-A1 ♥01-Introduce-Yourself-and-Friends ⚑Possessive-pronouns ♚	Level-A1-2027966093.mp3	Level-A1-833409670.mp3				
Can you repeat that, please?	Salli	<img src='Salli.png' />	[sound:Level-A1-219055393.mp3]	C_n   y_u   r_p_a_   t_a_,   p_e_s_?   <br>	Você pode repetir, por favor?	Yes. It's Kendra	Kendra	<img src=Kendra.png />	[sound:Level-A1-171119598.mp3]	Y_s.   I_'_   K_n_r_   	Sim. É Kendra		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-A1 ♥01-Introduce-Yourself-and-Friends ⚑Verb-to-Be 	Level-A1-219055393.mp3	Level-A1-171119598.mp3				
How do you spell that?	Salli	<img src='Salli.png' />	[sound:Level-A1-1903752149.mp3]	H_w   d_   y_u   s_e_l   t_a_?   <br>	Como que você soletra isso?	It's K-E-N-D-R-A	Kendra	<img src=Kendra.png />	[sound:Level-A1-512064426.mp3]	I_'_   K-E-N-D-R-A   	É K-E-N-D-R-A		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-A1 ♥01-Introduce-Yourself-and-Friends ⚑Alphabet ♚	Level-A1-1903752149.mp3	Level-A1-512064426.mp3				
Can you repeat that slowly, please?	Kendra	<img src='Kendra.png' />	[sound:Level-A1-1101478607.mp3]	C_n   y_u   r_p_a_   t_a_   s_o_l_,   <br>p_e_s_?   	Você pode repetir devagar, por favor?	Sure. It's Justin	Justin	<img src=Justin.png />	[sound:Level-A1-378237346.mp3]	S_r_.   I_'_   J_s_i_   	Claro. É Justin		Complete abaixo em inglês:		<img src="Tag.png">	<img src="3xwiser.png">	<img src="talk.png">	➤Level-A1 ♥01-Introduce-Yourself-and-Friends ⚑Verb-to-Be 	Level-A1-1101478607.mp3	Level-A1-378237346.mp3				
